P/bar	ice12111	iceXI	iceII	iceIX	iceXIII	iceXIV	iceXV	iceLTA	iceMAR	iceNON	icei	ice0	iceACO	iceBSV	iceDOH	ice11215848	ice12232449	ice14427301	ice15124949650	ice1532155471	ice16927915	ice17625256	ice20228176	ice533726600	ice582511	ice6128842	ice6721563	ice8421419	icePCOD8007225	icePCOD8036144	icePCOD8047078	icePCOD8047931	icePCOD8204698	icePCOD8301974	icePCOD8321499	icePCOD8324623	iceIc	iceIh	iceIII	iceIV	iceV	liquid	iceVIII	iceVII	iceVI	iceIII-part	iceV-part
6950	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.81887824147196	NaN	2.7605056385086635	NaN	-0.5385313311645413	6.72217922627973	NaN	NaN	NaN	NaN	NaN
7000	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.010447170549504	NaN	2.7704143043883582	NaN	-0.5721029369560748	6.817533821363034	NaN	NaN	NaN	NaN	NaN
7050	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.201773007636486	NaN	2.7801649032760176	NaN	-0.605719102688466	6.913017266003652	NaN	NaN	NaN	NaN	NaN
7100	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.392855342371302	NaN	2.7897582094633813	NaN	-0.6393796205982276	7.008630037817019	NaN	NaN	NaN	NaN	NaN
7150	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.583693742979225	NaN	2.7991949834572414	NaN	-0.6730842773892372	7.104372600265707	NaN	NaN	NaN	NaN	NaN
7200	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.774287756272404	NaN	2.8084759719794508	NaN	-0.706832854232735	7.2002454030484335	NaN	NaN	NaN	NaN	NaN
7250	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.964636907649876	NaN	2.817601907966914	NaN	-0.7406251267673265	7.29624888247695	NaN	NaN	NaN	NaN	NaN
7300	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.15474070109757	NaN	2.8265735105715937	NaN	-0.7744608650989802	7.392383461841238	NaN	NaN	NaN	NaN	NaN
7350	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.344598619188275	NaN	2.835391485160513	NaN	-0.8083398338010293	7.488649551763485	NaN	NaN	NaN	NaN	NaN
7400	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.534210123081685	NaN	2.844056523315746	NaN	-0.8422617919141699	7.585047550541222	NaN	NaN	NaN	NaN	NaN
7450	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.723574652524363	NaN	2.852569302834428	NaN	-0.8762264929464635	7.681577844480058	NaN	NaN	NaN	NaN	NaN
7500	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.912691625849757	NaN	2.8609304877287487	NaN	-0.9102336848733341	7.778240808216382	NaN	NaN	NaN	NaN	NaN
7550	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.101560439978197	NaN	2.8691407282259522	NaN	-0.9442831101375708	7.875036805030398	NaN	NaN	NaN	NaN	NaN
7600	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.2901804704169	NaN	2.8772006607683465	NaN	-0.9783745056493262	7.9719661871498415	NaN	NaN	NaN	NaN	NaN
7650	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.478551071259954	NaN	2.885110908013288	NaN	-1.0125076027861166	8.069029296044725	NaN	NaN	NaN	NaN	NaN
7700	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.66667157518834	NaN	2.8928720788331934	NaN	-1.0466821273928226	8.166226462713427	NaN	NaN	NaN	NaN	NaN
7750	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.854541293469918	NaN	2.900484768315538	NaN	-1.0808977997816887	8.263558007960436	NaN	NaN	NaN	NaN	NaN
7800	NaN	NaN	0.	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.042159515959426	NaN	2.90794955776285	NaN	-1.1151543347323232	8.361024242666032	NaN	NaN	NaN	NaN	NaN
