# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.5 300 9000 221.688 0.0518074
0.25 300 9000 153.683 0.0413652
1 325 2000 369.392 0.102284
0.707107 325 2000 287.314 0.0943981
0.5 325 2000 228.538 0.0689588
0.25 325 2000 161.782 0.0420332
1 325 3000 369.393 0.113022
0.707107 325 3000 287.284 0.0884943
0.5 325 3000 228.483 0.0511881
0.25 325 3000 161.71 0.0349964
1 325 4000 369.374 0.112963
0.707107 325 4000 287.271 0.085303
0.5 325 4000 228.447 0.0673438
0.25 325 4000 161.667 0.0403118
1 325 5000 369.343 0.11958
0.707107 325 5000 287.139 0.0894896
0.5 325 5000 228.355 0.0587344
0.25 325 5000 161.644 0.0397149
1 325 6000 369.414 0.0825601
0.707107 325 6000 287.204 0.0659423
0.5 325 6000 228.256 0.0568013
0.25 325 6000 161.575 0.0361831
1 325 7000 369.448 0.103142
0.707107 325 7000 287.079 0.0817586
0.5 325 7000 228.235 0.0582271
0.25 325 7000 161.51 0.043395
1 325 8000 369.51 0.0980796
0.707107 325 8000 287.061 0.0758445
0.5 325 8000 228.167 0.0534013
0.25 325 8000 161.483 0.0385581
1 325 9000 369.431 0.10793
0.707107 325 9000 287.032 0.0820549
0.5 325 9000 228.187 0.0541497
0.25 325 9000 161.451 0.0400214
