# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.707107 325 3000 286.096 0.101566
0.5 325 3000 227.736 0.081202
0.25 325 3000 161.643 0.0492733
1 325 4000 367.308 0.188647
0.707107 325 4000 286.007 0.0884824
0.5 325 4000 227.636 0.0707477
0.25 325 4000 161.595 0.0511024
1 325 5000 366.956 0.186874
0.707107 325 5000 286.701 0.106011
0.5 325 5000 228.573 0.0829593
0.25 325 5000 162.119 0.0383547
1 325 6000 367.29 0.174273
0.707107 325 6000 285.886 0.0971477
0.5 325 6000 227.49 0.0827372
0.25 325 6000 161.433 0.0372225
1 325 7000 367.106 0.159495
0.707107 325 7000 285.694 0.0949984
0.5 325 7000 227.399 0.07609
0.25 325 7000 161.388 0.0379004
1 325 8000 366.967 0.151624
0.707107 325 8000 285.534 0.0948427
0.5 325 8000 227.206 0.0771953
0.25 325 8000 161.331 0.0371566
1 325 9000 366.99 0.16677
0.707107 325 9000 285.655 0.109503
0.5 325 9000 227.309 0.08136
0.25 325 9000 161.382 0.0324301
